adm4,local_datetime,subdistrict_name,t,hu,ws,wd,tcc,visibility,weather_desc_en,rain_level,sea_level,tide_height,flood
31.73.05.1001,2024-01-01 00:00:00,pekojan,27.876410777723837,76.81148778151098,19.537685216160188,E,52.08304812607668,5.35990047235693,Rain,1.4379737293692465,2.3280074383768405,0.50999030193191,0
31.73.04.1007,2024-01-01 02:00:00,joglo,34.952219784129014,74.90026405245519,29.23000502671369,N,61.96073147903785,5.608808302181637,Clear,0.4896447111842372,1.8715025007841133,1.8220366718921952,0
31.73.01.1005,2024-01-01 04:00:00,duri selatan,28.15542509367129,94.11368505871424,1.9395856847520463,NW,67.4755764376153,7.470308536200086,Heavy Rain,2.5173042333334124,1.5805956314989071,1.2559095750247415,0
31.73.04.1002,2024-01-01 06:00:00,sukabumi selatan,29.98027133404809,73.19637907576741,21.09323186668034,SW,64.71038338155324,5.311918594210913,Light Rain,0.8011622275379445,1.1543491026278665,0.2785000863013467,0
31.73.05.1005,2024-01-01 08:00:00,rawa buaya,31.712668522250844,94.536737984776,14.206298510883563,N,3.616077355293896,3.896971781045124,Cloudy,0.3106346745856803,0.2121597293971453,1.6153456796359549,0
31.73.05.1002,2024-01-01 10:00:00,meruya selatan,33.51797425198039,70.22241055440374,8.5426661184258,SW,27.694597181837253,6.292799640415167,Clear,2.268226033384706,2.595501614881538,1.829479388784565,0
31.73.01.1005,2024-01-01 12:00:00,kedaung kali angke,26.814307022607963,88.08649391297386,-1.300383669075357,NE,63.1585067536405,4.86779761742318,Light Rain,4.683399248357392,2.0210076771484133,3.328402927098276,1
31.73.04.1008,2024-01-01 14:00:00,kelapa dua,27.74094253390771,78.04616477508924,20.625774792513653,N,59.77146666803456,7.179159040586871,Light Rain,0.5566159674625755,1.2317812336724334,0.740301061455755,0
31.73.05.1001,2024-01-01 16:00:00,jembatan besi,32.58099061752325,99.64599225886164,22.900004394879023,SW,34.60142754859745,3.655033626649412,Light Rain,2.266018902339457,1.2597667680387383,0.977749537335364,0
31.73.01.1002,2024-01-01 18:00:00,meruya selatan,31.252617266324712,53.50459857526502,26.9282594790361,NW,73.45865196358326,3.108486036524573,Light Rain,0.8263785449084227,0.9433263877132306,0.1310803574695369,0
31.73.04.1006,2024-01-01 20:00:00,kapuk,32.01073882645953,58.01035364606557,25.499590807782557,SW,48.16611515221399,9.114305025345049,Light Rain,4.131071079019325,1.5074235893628805,0.9043123490746412,0
31.73.04.1010,2024-01-01 22:00:00,kapuk,25.02219406396055,101.10979884002433,8.685154840476745,N,77.22651640518976,11.573119681947151,Light Rain,0.3258777665166938,0.9950348010575027,0.152176027241029,0
31.73.05.1005,2024-01-02 00:00:00,pekojan,33.36283048836368,64.20578916752305,26.48535304327397,SE,85.47773474291398,10.416384143586368,Thunderstorm,0.4600730174697383,1.2776041685114017,2.8084319732031675,0
31.73.05.1005,2024-01-02 02:00:00,kali anyar,26.758826565682853,65.11888676291008,27.397123056145876,S,61.77147948533936,5.550079431801765,Cloudy,0.3044474887259505,1.38196412467227,2.0845535314606307,0
31.73.04.1011,2024-01-02 04:00:00,kembangan utara,29.4860379987535,62.15607360808241,13.101733992506238,N,68.8257175517143,8.445545268034742,Rain,0.1387638230765842,2.980131733578262,0.1321009573363412,0
31.73.04.1008,2024-01-02 06:00:00,kebon jeruk,28.51229549360162,91.28014860431963,15.590948638407154,S,39.20909360078572,3.971759135943432,Cloudy,2.147063428714622,0.3004926711985072,0.2544187878920465,0
31.73.08.1004,2024-01-02 08:00:00,kedoya utara,26.42403690043235,56.72117602482502,7.283136154095057,N,77.39148021059285,7.040403505463326,Heavy Rain,3.1778826619736025,1.1589414686649404,0.7758928569625336,0
31.73.05.1002,2024-01-02 10:00:00,tanah sereal,24.89685387461847,75.07914468871061,28.126756525727014,NW,60.240345002096255,4.235036413207782,Heavy Rain,5.791951874460638,2.0152346961962904,3.046814914296329,1
31.73.04.1011,2024-01-02 12:00:00,cengkareng timur,23.949429796203027,70.93431532791718,2.29772837131128,NE,47.191986313929945,8.962894665274824,Cloudy,2.7301287787020456,1.6937500515282076,0.7046661048061705,0
31.73.08.1003,2024-01-02 14:00:00,jembatan lima,29.27650130850131,89.66967650167807,19.96279154461021,NE,23.67940656049069,8.621108504286365,Light Rain,0.6767039087053035,1.574041535654224,1.238454961314067,0
